Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
Microsoft .NET Framework,.NET Framework 3.5 Service Pack 1,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.0,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.5,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.5.1,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.5.2,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.6,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.6.1,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.6.2,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.7,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.7.1,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.7.2,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.8,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 4.8.1,,,microsoft,,,
Microsoft .NET Micro Framework Porting Kit 3.0,,2017-07-11,,microsoft,,,
Microsoft 365,,,,microsoft,,,
Microsoft 365,,,,microsoft,,,
Microsoft 365,,,,microsoft,,,
Microsoft 365,,,,microsoft,,,
Microsoft 365 Apps,,,,microsoft,,,
Microsoft 365 Apps,,,,microsoft,,,
Microsoft ActiveSync 4.2,,2016-07-12,,microsoft,,,
Microsoft ActiveSync 4.5,,,,microsoft,,,
Microsoft Advanced Group Policy Management 4.0,Original Release,2026-04-14,,microsoft,,,
Microsoft Advanced Group Policy Management 4.0,Service Pack 1,2026-04-14,,microsoft,,,
Microsoft Advanced Group Policy Management 4.0,Service Pack 2,2026-04-14,,microsoft,,,
Microsoft Advanced Group Policy Management 4.0,Service Pack 3,2026-04-14,,microsoft,,,
Microsoft Antigen,,2015-12-31,,microsoft,,,
Microsoft Antigen,,2015-12-31,,microsoft,,,
Microsoft Antigen,,2015-12-31,,microsoft,,,
Microsoft Antigen,,2015-12-31,,microsoft,,,
Microsoft Application Virtualization 4.5,Original Release,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.5,Service Pack 1,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.5,Service Pack 2,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.5,Original Release,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.5,Service Pack 1,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.5,Service Pack 2,2019-01-08,,microsoft,,,
Microsoft Application Virtualization 4.6,Original Release,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 1,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 2,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 3,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Original Release,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 1,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 2,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 3,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Original Release,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 1,2020-07-14,,microsoft,,,
Microsoft Application Virtualization 4.6,Service Pack 2,2020-07-14,,microsoft,,,
